AoI,Dropped_Ratio
1.3455,0.2048
1.2479,0.2229
1.2798,0.2892
1.2137,0.3253
1.221,0.3855
1.296,0.4578
1.3382,0.512
1.3506,0.512
1.3596,0.494
0.7142,0.5
0.8107,0.2108
0.823,0.3795
0.7941,0.2229
0.809,0.3193
0.8513,0.2892
0.8679,0.3193
0.8211,0.3554
0.8792,0.2831
0.8324,0.3193
0.8151,0.2952
0.6866,0.1265
0.6755,0.0723
0.7132,0.1566
0.6814,0.0542
0.6655,0.1566
0.6795,0.0843
0.6461,0.1807
0.6548,0.0482
0.7022,0.1325
0.6961,0.0904
0.6622,0.0663
0.6665,0.0964
0.6528,0.0602
0.6408,0.1205
0.6786,0.1566
0.6746,0.1446
0.6389,0.0422
0.6819,0.0904
0.672,0.1386
0.6491,0.1325
0.6526,0.1024
0.6511,0.1566
0.6369,0.0964
0.6695,0.1627
0.6235,0.0602
0.641,0.1446
0.6388,0.1024
0.6733,0.1446
0.6274,0.0783
0.6329,0.0422
0.627,0.1747
0.6289,0.1205
0.6257,0.1205
0.6324,0.1084
0.614,0.0904
0.6608,0.1265
0.6303,0.1687
0.653,0.0482
0.6394,0.0723
0.6353,0.1506
0.6505,0.0964
0.6216,0.0964
0.666,0.1024
0.6237,0.1265
0.6349,0.0904
0.6269,0.0964
0.6268,0.1566
0.6188,0.1205
0.6428,0.0964
0.642,0.1145
0.6125,0.0482
0.6702,0.1747
0.6371,0.0663
0.6344,0.1205
0.6631,0.1807
0.6414,0.1325
0.6647,0.2169
0.6306,0.0542
0.6401,0.0723
0.6598,0.0663
0.6325,0.0663
0.6209,0.0783
0.6266,0.1145
0.6346,0.0542
0.616,0.0904
0.6142,0.0783
0.6264,0.1205
0.6283,0.1084
0.6414,0.0602
0.6673,0.1747
0.5986,0.1205
0.6511,0.1145
0.609,0.0482
0.6185,0.0422
0.6198,0.1205
0.6553,0.1446
0.637,0.1024
0.6387,0.1566
0.6428,0.1506
0.6518,0.0964
