average_aoi,dropped_ratio
1.2888,0.3735
1.2941,0.3133
1.2746,0.3494
1.2003,0.4398
1.2116,0.4036
1.2802,0.4277
1.2678,0.4518
1.283,0.6024
1.2231,0.5843
0.8743,0.506
0.8818,0.3434
0.7921,0.3133
0.7981,0.2952
0.7944,0.259
0.777,0.4277
0.8382,0.3735
0.7868,0.3976
0.7701,0.3133
0.7839,0.3494
0.7877,0.3434
1.0174,0.2169
0.9995,0.2048
0.9972,0.2289
0.9806,0.2831
1.0514,0.1566
1.0358,0.2229
1.0607,0.1084
1.0795,0.1627
1.1108,0.1928
0.7366,0.1928
0.7209,0.247
0.706,0.2169
0.725,0.3072
0.7517,0.2048
0.7089,0.247
0.718,0.2289
0.6975,0.1687
0.6962,0.241
0.7185,0.2169
0.657,0.247
0.6057,0.1627
0.6222,0.247
0.6204,0.2229
0.6053,0.1265
0.6029,0.247
0.5991,0.1747
0.6219,0.1687
0.604,0.1687
0.6139,0.2169
0.6322,0.2349
0.6458,0.2169
0.6464,0.2108
0.6646,0.1867
0.6355,0.1687
0.6731,0.1928
0.6601,0.0964
0.674,0.1386
0.6556,0.1024
0.662,0.1807
0.6349,0.2108
0.6406,0.2169
0.6333,0.1928
0.6584,0.1627
0.6256,0.1627
0.6268,0.1205
0.6699,0.1506
0.6388,0.247
0.6552,0.1928
0.6662,0.0964
0.6176,0.2169
0.6298,0.2169
0.6125,0.2169
0.6188,0.1024
0.6265,0.1386
0.6279,0.2048
0.6455,0.2169
0.6192,0.2289
0.6468,0.1988
0.6323,0.2108
0.5959,0.0964
0.6077,0.1566
0.6322,0.1566
0.6289,0.2048
0.6266,0.2349
0.5954,0.1747
0.6112,0.2349
0.6191,0.1627
0.5997,0.1807
0.6295,0.1386
0.645,0.1807
0.6113,0.1807
0.6187,0.0904
0.5988,0.2048
0.6086,0.1386
0.6124,0.1747
0.6164,0.1446
0.6247,0.2108
0.6069,0.1867
0.6175,0.2229
0.6175,0.2289
